t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T15:07:58+0000 lvl=info msg="join connections" obj=join id=fec36a1475fd l=127.0.0.1:8000 r=34.12.125.176:50518
t=2026-06-14T15:08:20+0000 lvl=info msg="join connections" obj=join id=d4ef590c197a l=127.0.0.1:8000 r=115.79.37.109:51124
t=2026-06-14T15:08:35+0000 lvl=info msg="join connections" obj=join id=5470971ebe75 l=127.0.0.1:8000 r=34.12.125.176:47402
t=2026-06-14T15:08:39+0000 lvl=info msg="join connections" obj=join id=29b4a1a881f6 l=127.0.0.1:8000 r=115.79.37.109:60751
t=2026-06-14T15:08:56+0000 lvl=info msg="join connections" obj=join id=063759204feb l=127.0.0.1:8000 r=34.12.125.176:48086
t=2026-06-14T15:09:27+0000 lvl=info msg="join connections" obj=join id=068b7de97ca9 l=127.0.0.1:8000 r=115.79.37.109:60506
t=2026-06-14T15:09:33+0000 lvl=info msg="join connections" obj=join id=0f52fdfbf9d0 l=127.0.0.1:8000 r=34.12.125.176:54812
t=2026-06-14T15:10:06+0000 lvl=info msg="join connections" obj=join id=bfdee910d06f l=127.0.0.1:8000 r=115.79.37.109:58116
t=2026-06-14T15:10:21+0000 lvl=info msg="join connections" obj=join id=d30689bffe9c l=127.0.0.1:8000 r=34.12.125.176:43884
t=2026-06-14T15:10:45+0000 lvl=info msg="join connections" obj=join id=fd82e0c1c32f l=127.0.0.1:8000 r=115.79.37.109:56236
t=2026-06-14T15:11:00+0000 lvl=info msg="join connections" obj=join id=f776a76de4b1 l=127.0.0.1:8000 r=34.12.125.176:34180
t=2026-06-14T15:11:39+0000 lvl=info msg="join connections" obj=join id=11340a319bbf l=127.0.0.1:8000 r=34.12.125.176:41062
t=2026-06-14T15:11:59+0000 lvl=info msg="join connections" obj=join id=22182648284b l=127.0.0.1:8000 r=34.12.125.176:58424
t=2026-06-14T15:12:19+0000 lvl=info msg="join connections" obj=join id=d159e2bf5fbb l=127.0.0.1:8000 r=34.12.125.176:55830
t=2026-06-14T15:12:39+0000 lvl=info msg="join connections" obj=join id=9eb85b685e32 l=127.0.0.1:8000 r=34.12.125.176:54674
t=2026-06-14T15:12:59+0000 lvl=info msg="join connections" obj=join id=5b00e6d0a374 l=127.0.0.1:8000 r=34.12.125.176:39422
t=2026-06-14T15:13:20+0000 lvl=info msg="join connections" obj=join id=890044f35b09 l=127.0.0.1:8000 r=34.12.125.176:44392
t=2026-06-14T15:13:40+0000 lvl=info msg="join connections" obj=join id=58a4f3b879ff l=127.0.0.1:8000 r=34.12.125.176:50674
t=2026-06-14T15:14:00+0000 lvl=info msg="join connections" obj=join id=e16a22d59e98 l=127.0.0.1:8000 r=34.12.125.176:43196
t=2026-06-14T15:14:20+0000 lvl=info msg="join connections" obj=join id=bd4a897cfb24 l=127.0.0.1:8000 r=34.12.125.176:54394
t=2026-06-14T15:14:40+0000 lvl=info msg="join connections" obj=join id=441df991eef8 l=127.0.0.1:8000 r=34.12.125.176:56536
t=2026-06-14T15:15:00+0000 lvl=info msg="join connections" obj=join id=9349fa7a6f53 l=127.0.0.1:8000 r=34.12.125.176:40762
t=2026-06-14T15:15:20+0000 lvl=info msg="join connections" obj=join id=aa9209ababaf l=127.0.0.1:8000 r=34.12.125.176:34620
t=2026-06-14T15:15:40+0000 lvl=info msg="join connections" obj=join id=914dfa768e61 l=127.0.0.1:8000 r=34.12.125.176:43740
t=2026-06-14T15:16:01+0000 lvl=info msg="join connections" obj=join id=77296eb1655e l=127.0.0.1:8000 r=34.12.125.176:51786
t=2026-06-14T15:16:21+0000 lvl=info msg="join connections" obj=join id=5db701897d86 l=127.0.0.1:8000 r=34.12.125.176:58096
t=2026-06-14T15:16:41+0000 lvl=info msg="join connections" obj=join id=aa1232148d17 l=127.0.0.1:8000 r=34.12.125.176:56822
t=2026-06-14T15:17:01+0000 lvl=info msg="join connections" obj=join id=a87e9fba07ac l=127.0.0.1:8000 r=34.12.125.176:36736
t=2026-06-14T15:17:21+0000 lvl=info msg="join connections" obj=join id=4cf4e69f095a l=127.0.0.1:8000 r=34.12.125.176:59384
